['10.0.0.4', '10.0.0.2']
3
iteration 17, phase 7, node 3, test accuracy = 85.43%
iteration 18, phase 7, node 3, test accuracy = 85.43%
iteration 19, phase 7, node 3, test accuracy = 85.43%
iteration 20, phase 7, node 3, test accuracy = 85.43%
iteration 21, phase 7, node 3, test accuracy = 85.93%
iteration 22, phase 7, node 3, test accuracy = 86.43%
iteration 23, phase 7, node 3, test accuracy = 86.93%
iteration 24, phase 7, node 3, test accuracy = 86.93%
iteration 25, phase 7, node 3, test accuracy = 86.93%
iteration 26, phase 7, node 3, test accuracy = 86.93%
iteration 27, phase 7, node 3, test accuracy = 86.93%
iteration 28, phase 7, node 3, test accuracy = 86.93%
iteration 29, phase 7, node 3, test accuracy = 86.93%
iteration 30, phase 7, node 3, test accuracy = 86.93%
iteration 31, phase 7, node 3, test accuracy = 87.44%
iteration 32, phase 7, node 3, test accuracy = 87.44%
iteration 33, phase 7, node 3, test accuracy = 86.93%
iteration 34, phase 7, node 3, test accuracy = 86.93%
iteration 35, phase 7, node 3, test accuracy = 86.93%
iteration 36, phase 7, node 3, test accuracy = 86.93%
iteration 37, phase 7, node 3, test accuracy = 86.93%
iteration 38, phase 7, node 3, test accuracy = 86.93%
iteration 39, phase 7, node 3, test accuracy = 86.93%
iteration 40, phase 7, node 3, test accuracy = 87.44%
iteration 41, phase 7, node 3, test accuracy = 87.44%
iteration 42, phase 7, node 3, test accuracy = 87.44%
iteration 43, phase 7, node 3, test accuracy = 87.44%
iteration 44, phase 7, node 3, test accuracy = 87.44%
iteration 45, phase 7, node 3, test accuracy = 87.44%
iteration 46, phase 7, node 3, test accuracy = 87.94%
iteration 47, phase 7, node 3, test accuracy = 88.44%
iteration 48, phase 7, node 3, test accuracy = 87.94%
iteration 49, phase 7, node 3, test accuracy = 87.94%
iteration 0, phase 8, node 3, test accuracy = 72.36%
iteration 1, phase 8, node 3, test accuracy = 76.38%
iteration 2, phase 8, node 3, test accuracy = 77.39%
iteration 3, phase 8, node 3, test accuracy = 79.40%
iteration 4, phase 8, node 3, test accuracy = 79.90%
iteration 5, phase 8, node 3, test accuracy = 81.41%
iteration 6, phase 8, node 3, test accuracy = 81.41%
iteration 7, phase 8, node 3, test accuracy = 81.41%
iteration 8, phase 8, node 3, test accuracy = 81.91%
iteration 9, phase 8, node 3, test accuracy = 82.41%
iteration 10, phase 8, node 3, test accuracy = 84.42%
iteration 11, phase 8, node 3, test accuracy = 84.92%
iteration 12, phase 8, node 3, test accuracy = 84.92%
iteration 13, phase 8, node 3, test accuracy = 85.43%
